item_id,competency_id,level_target,statement
RS_05,hard_results,3,"Я умею рассказывать негативную информацию о продукте"
BR_01,soft_briefing,2,"Я умею отвечать на вопросы заказчика про метод исследования"
BR_02,soft_briefing,2,"Я умею отвечать на вопросы заказчика про выборку"
BR_03,soft_briefing,2,"Я умею отвечать на вопросы заказчика про гипотезы"
BR_04,soft_briefing,2,"Я умею отвечать на вопросы заказчика про результаты исследования"
BR_05,soft_briefing,2,"Я умею задавать уточняющие вопросы заказчику и получать недостающую для исследования информацию, которой нет в брифе"
BR_06,soft_briefing,2,"Я умею аргументированно не соглашаться и возражать заказчику"
BR_07,soft_briefing,3,"Я умею узнавать у заказчика подробности о бизнес целях и планах по продукту"
BR6_01,soft_briefing,3,"Я умею вести разговор с кросс функциональными командами на встрече"
PR_01,soft_presentation,1,"Я умею рассказать презентацию/отчет опираясь на слайды"
PR_02,soft_presentation,2,"Я умею отвечать на уточняющие вопросы по отчету/презентации"
PR_03,soft_presentation,2,"Я умею работать с возражениями по исследованию от коллег"
PR_04,soft_presentation,2,"Я умею правильно расставить акценты в презентации/отчете"
PR_05,soft_presentation,3,"Я умею работать с возражениями от B-2, B-3"
PR_06,soft_presentation,4,"Я умею работать с возражениями от B-1"
RR_01,soft_researchers,1,"Я умею аргументировать свои идеи исследователям"
RR_02,soft_researchers,2,"Я умею делиться опытом"
RR_03,soft_researchers,2,"Я умею работать в паре"
RR_04,soft_researchers,3,"Я умею объяснять навыки професии младшим исследователям"
RR_05,soft_researchers,3,"Я умею работать в паре с позиции лидера"
RR_06,soft_researchers,4,"Я умею объяснять навыки професии исследователям любого уровня"
RR_07,soft_researchers,4,"Я беру лидерство в комьюнити вне исследовательских задач"
RR_08,soft_researchers,4,"Я беру лидерство в комьюнити в изменении исследовательских процессов"
CL_02,soft_colleagues,1,"Я умею аргументировать свои идеи коллегам"
CL_03,soft_colleagues,2,"Я умею аргументированно работать с возражениями от коллег"
CL_04,soft_colleagues,2,"Я умею выстраивать рабочие отношения с заказчиками"
CL_05,soft_colleagues,3,"Я умею делиться опытом с коллегами вне професии"
CL_06,soft_colleagues,3,"Я умею занимать лидирующую позицию в исследовательском проекте"
CL_07,soft_colleagues,4,"Я умею делить опытом о процессах и культуре исследований с коллегами вне профессии"
CL_08,soft_colleagues,4,"Я умею обучать исследованиям коллег от уровня мидл и выше"
LD_01,soft_leaders,3,"Я умею выстраивать рабочие отношения с B-2, B-3"
LD_02,soft_leaders,3,"Я умею делиться знаниями об исследованиях с B-2, B-3"
LD_03,soft_leaders,3,"Я умею аргументированно возражать и дискутировать с B-2, B-3"
LD_04,soft_leaders,4,"Я умею провдигать исследовательские идеи"
LD_05,soft_leaders,4,"Я умею занимать равную позицию с B-2, B-3 в обсуждении процессов и планах продукта"
LD_06,soft_leaders,4,"Я влияю на планы продукта"
LD_07,soft_leaders,5,"Я влияю на стратегию направления"
LD_08,soft_leaders,5,"Я влияю на распределение ресурсов"
BS_01,soft_business,4,"Я умею выстраивать отношения с B-1"
BS_02,soft_business,4,"Я умею делиться знаниями с B-1"
BS_03,soft_business,4,"Я умею аргументированно возражать и дискутировать с B-1"
BS_04,soft_business,4,"Я умею продвигать исследовательские идеи B-1"
BS_05,soft_business,4,"Я умею занимать равную позицию с B-1 в обсуждении процессов и планах бизнеса"
BS_06,soft_business,4,"Я влияю на планы бизнеса"
QD_L1_01,hard_quant_design,1,"Я понимаю, когда количественный опрос уместен как метод исследования"
QD_L1_02,hard_quant_design,1,"Я умею формулировать закрытые вопросы без двусмысленности"
QD_L1_03,hard_quant_design,1,"Я умею оценить минимальный размер выборки под задачу с учетом допустимой погрешности"
QD_L1_04,hard_quant_design,1,"Я умею оценить, насколько выборка репрезентативна для целевой аудитории"
QD_L1_05,hard_quant_design,1,"Я умею спроектировать структуру анкеты, порядок блоков, фильтры, логику переходов и ротацию"
QD_L2_01,hard_quant_design,2,"Я умею оценить, действительно ли вопросы измеряют нужный нам конструкт"
QD_L2_02,hard_quant_design,2,"Я умею спроектировать выборку с квотами или сертификацией и решить, нужно ли взешивание"
QD_L2_03,hard_quant_design,2,"Я умею настроить и запустить в survey-инструменте с корректным сборым данных"
QD_L2_04,hard_quant_design,2,"Я умею проектировать трекинговые опросы с сопоставимостью волн и стабильности метрик"
QD_L3_02,hard_quant_design,3,"Я умею проводить ценовые исследования (например, эксперименты с разными уровнями цены)"
QD_L3_04,hard_quant_design,3,"Я понимаю ограничения индексов типа NPS,CSAT."
QD_L3_05,hard_quant_design,3,"Я умею проводить monadic‑тесты и другие форматы количественного тестирования концепций и гипотез.."
QA_L1_01,hard_quant_analysis,1,"Я умею очистить сырые данные: обработать пропуски, выбросы и некорректные ответы"
QA_L1_02,hard_quant_analysis,1,"Я умею отличить корреляцию от причинной связи и объяснить это заказчику"
QA_L1_03,hard_quant_analysis,1,"Я умею корректно интерпретировать проценты, средние и медианы"
QA_L2_01,hard_quant_analysis,2,"Я умею строить кросс‑табы, сравнивать группы и делать по ним понятные выводы"
QA_L2_02,hard_quant_analysis,2,"Я умею статистически корректно сравнивать группы, проверять значимость различий и понятно объяснять результат"
QA_L2_03,hard_quant_analysis,2,"Я умею сегментировать аудиторию на основе данных опроса"
QA_L2_04,hard_quant_analysis,2,"Я умею проверять устойчивость выводов к выбросам, размеру выборки и методу анализа"
QA_L2_05,hard_quant_analysis,2,"Я умею превращать результаты анализа в понятные выводы и рекомендации для бизнеса"
QA_L2_06,hard_quant_analysis,2,"Я умею строить и проверять сегментации на количественных данных"
QA_L3_01,hard_quant_analysis,3,"Я умею применять регрессию, факторный или кластерный анализ и интерпретировать результаты"
